[I 260121 09:49:15 consumers:62] SmartAPI WebSocket Opened
[I 260121 09:49:37 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2263344, 'exchange_timestamp': 1768969177000, 'last_traded_price': 5921500, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:37 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2263579, 'exchange_timestamp': 1768969178000, 'last_traded_price': 5921575, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:38 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2264032, 'exchange_timestamp': 1768969178000, 'last_traded_price': 5921295, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:38 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2264267, 'exchange_timestamp': 1768969179000, 'last_traded_price': 5921295, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:39 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2264720, 'exchange_timestamp': 1768969179000, 'last_traded_price': 5921225, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:39 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2264957, 'exchange_timestamp': 1768969180000, 'last_traded_price': 5921155, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:40 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2265378, 'exchange_timestamp': 1768969180000, 'last_traded_price': 5921305, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:40 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2265612, 'exchange_timestamp': 1768969181000, 'last_traded_price': 5921925, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:41 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2266065, 'exchange_timestamp': 1768969181000, 'last_traded_price': 5921960, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:41 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2266300, 'exchange_timestamp': 1768969182000, 'last_traded_price': 5921650, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:42 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2266826, 'exchange_timestamp': 1768969182000, 'last_traded_price': 5921625, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:42 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2267061, 'exchange_timestamp': 1768969183000, 'last_traded_price': 5921750, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:43 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2267502, 'exchange_timestamp': 1768969183000, 'last_traded_price': 5922090, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:43 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2267705, 'exchange_timestamp': 1768969184000, 'last_traded_price': 5922170, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:44 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2268154, 'exchange_timestamp': 1768969184000, 'last_traded_price': 5921880, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:44 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2268389, 'exchange_timestamp': 1768969185000, 'last_traded_price': 5921860, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:45 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2268839, 'exchange_timestamp': 1768969185000, 'last_traded_price': 5922010, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:45 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2269073, 'exchange_timestamp': 1768969186000, 'last_traded_price': 5920855, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:46 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2269498, 'exchange_timestamp': 1768969186000, 'last_traded_price': 5920795, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:46 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2269734, 'exchange_timestamp': 1768969187000, 'last_traded_price': 5920970, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:47 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2270262, 'exchange_timestamp': 1768969187000, 'last_traded_price': 5921010, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:47 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2270499, 'exchange_timestamp': 1768969188000, 'last_traded_price': 5920755, 'subscription_mode_val': 'LTP'}
